starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 26 13:41:19 2017	1493232079	0	16	16	0
Wed Apr 26 13:41:19 2017	1493232079	0	16	16	0
Wed Apr 26 13:41:19 2017	1493232079	0	16	16	0
Wed Apr 26 13:41:19 2017	1493232079	0	16	16	0
Wed Apr 26 13:41:19 2017	1493232079	0	16	16	0
Wed Apr 26 13:41:19 2017	1493232079	0	16	16	0
Wed Apr 26 13:41:19 2017	1493232079	0	16	16	0
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	0
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	0
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	0
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	0
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	0
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	0
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	16
Wed Apr 26 13:41:19 2017	1493232079	0	31	31	31
Wed Apr 26 13:41:19 2017	1493232079	16	31	47	16
Wed Apr 26 13:41:19 2017	1493232079	0	47	47	31
