starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 26 13:50:27 2017	1493232627	0	0	0	0
Wed Apr 26 13:50:27 2017	1493232627	0	0	0	0
Wed Apr 26 13:50:27 2017	1493232627	0	0	0	0
Wed Apr 26 13:50:27 2017	1493232627	0	0	0	0
Wed Apr 26 13:50:27 2017	1493232627	0	0	0	0
Wed Apr 26 13:50:27 2017	1493232627	0	0	0	0
Wed Apr 26 13:50:27 2017	1493232627	16	0	16	0
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	0
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	0
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	0
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:27 2017	1493232627	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	16	16	16
Wed Apr 26 13:50:21 2017	1493232621	0	17	17	17
Wed Apr 26 13:50:21 2017	1493232621	0	17	17	17
Wed Apr 26 13:50:21 2017	1493232621	0	17	17	17
Wed Apr 26 13:50:21 2017	1493232621	0	17	17	17
Wed Apr 26 13:50:21 2017	1493232621	0	17	17	17
Wed Apr 26 13:50:17 2017	1493232617	0	25	25	25
Wed Apr 26 13:50:17 2017	1493232617	0	28	28	18
Wed Apr 26 13:50:17 2017	1493232617	0	28	28	18
Wed Apr 26 13:50:20 2017	1493232620	1	27	28	27
Wed Apr 26 13:50:20 2017	1493232620	1	28	29	28
Wed Apr 26 13:50:20 2017	1493232620	1	29	30	29
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	0
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	16
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	16
Wed Apr 26 13:50:17 2017	1493232617	0	31	31	16
Wed Apr 26 13:50:27 2017	1493232627	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:27 2017	1493232627	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:25 2017	1493232625	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
Wed Apr 26 13:50:26 2017	1493232626	0	31	31	31
