starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 19 07:22:40 2017	1492579360	1	1	1	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	1	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	1	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	1	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:40 2017	1492579360	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
Wed Apr 19 07:22:39 2017	1492579359	1	1	2	1
