starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 19 06:27:38 2017	1492576058	2	5	7	4
Wed Apr 19 06:27:38 2017	1492576058	2	5	7	4
Wed Apr 19 06:27:38 2017	1492576058	3	5	8	4
Wed Apr 19 06:27:48 2017	1492576068	1	7	8	7
Wed Apr 19 06:27:49 2017	1492576069	1	8	8	7
Wed Apr 19 06:27:39 2017	1492576059	1	8	8	7
Wed Apr 19 06:27:49 2017	1492576069	0	8	8	7
Wed Apr 19 06:27:38 2017	1492576058	2	6	8	3
Wed Apr 19 06:27:48 2017	1492576068	0	8	8	7
Wed Apr 19 06:27:44 2017	1492576064	1	8	8	7
Wed Apr 19 06:27:38 2017	1492576058	3	6	8	5
Wed Apr 19 06:27:50 2017	1492576070	1	8	8	7
Wed Apr 19 06:27:38 2017	1492576058	2	6	8	5
Wed Apr 19 06:27:48 2017	1492576068	1	8	8	7
Wed Apr 19 06:27:42 2017	1492576062	0	8	8	8
Wed Apr 19 06:27:39 2017	1492576059	0	8	8	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	8	7
Wed Apr 19 06:27:48 2017	1492576068	1	8	8	7
Wed Apr 19 06:27:39 2017	1492576059	1	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	7
Wed Apr 19 06:27:38 2017	1492576058	2	7	9	6
Wed Apr 19 06:27:46 2017	1492576066	1	8	9	7
Wed Apr 19 06:27:38 2017	1492576058	2	6	9	5
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	7
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	8
Wed Apr 19 06:27:50 2017	1492576070	0	8	9	7
Wed Apr 19 06:27:50 2017	1492576070	0	8	9	8
Wed Apr 19 06:27:40 2017	1492576060	0	8	9	8
Wed Apr 19 06:27:42 2017	1492576062	0	8	9	8
Wed Apr 19 06:27:38 2017	1492576058	1	8	9	8
Wed Apr 19 06:27:40 2017	1492576060	0	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	7
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	7
Wed Apr 19 06:27:50 2017	1492576070	0	8	9	8
Wed Apr 19 06:27:49 2017	1492576069	1	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	8
Wed Apr 19 06:27:38 2017	1492576058	2	7	9	6
Wed Apr 19 06:27:41 2017	1492576061	0	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	7
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	8
Wed Apr 19 06:27:49 2017	1492576069	0	8	9	8
Wed Apr 19 06:27:49 2017	1492576069	0	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	7
Wed Apr 19 06:27:39 2017	1492576059	0	9	9	8
Wed Apr 19 06:27:49 2017	1492576069	1	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	8	9	8
Wed Apr 19 06:27:49 2017	1492576069	0	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	8	9	8
Wed Apr 19 06:27:42 2017	1492576062	1	8	9	7
Wed Apr 19 06:27:40 2017	1492576060	0	9	9	8
Wed Apr 19 06:27:49 2017	1492576069	1	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	8
Wed Apr 19 06:27:49 2017	1492576069	0	8	9	8
Wed Apr 19 06:27:44 2017	1492576064	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	8	9	8
Wed Apr 19 06:27:47 2017	1492576067	1	8	9	8
Wed Apr 19 06:27:49 2017	1492576069	1	8	9	8
Wed Apr 19 06:27:47 2017	1492576067	1	8	9	8
Wed Apr 19 06:27:44 2017	1492576064	1	8	9	8
Wed Apr 19 06:27:44 2017	1492576064	1	8	9	8
Wed Apr 19 06:27:40 2017	1492576060	1	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	8
Wed Apr 19 06:27:47 2017	1492576067	1	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	8
Wed Apr 19 06:27:43 2017	1492576063	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	8
Wed Apr 19 06:27:47 2017	1492576067	1	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	7
Wed Apr 19 06:27:41 2017	1492576061	0	9	9	8
Wed Apr 19 06:27:40 2017	1492576060	1	8	9	8
Wed Apr 19 06:27:46 2017	1492576066	1	8	9	8
Wed Apr 19 06:27:42 2017	1492576062	0	9	9	8
Wed Apr 19 06:27:40 2017	1492576060	0	9	9	8
Wed Apr 19 06:27:43 2017	1492576063	1	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:43 2017	1492576063	1	8	9	8
Wed Apr 19 06:27:44 2017	1492576064	1	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:47 2017	1492576067	1	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	9	9	7
Wed Apr 19 06:27:39 2017	1492576059	1	9	9	8
Wed Apr 19 06:27:41 2017	1492576061	0	9	9	8
Wed Apr 19 06:27:40 2017	1492576060	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	9	9	8
Wed Apr 19 06:27:41 2017	1492576061	0	9	9	8
Wed Apr 19 06:27:50 2017	1492576070	1	8	9	8
Wed Apr 19 06:27:42 2017	1492576062	0	9	9	8
Wed Apr 19 06:27:44 2017	1492576064	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:38 2017	1492576058	2	8	9	7
Wed Apr 19 06:27:48 2017	1492576068	1	8	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	9	9	7
Wed Apr 19 06:27:50 2017	1492576070	1	9	9	7
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:47 2017	1492576067	0	9	9	8
Wed Apr 19 06:27:43 2017	1492576063	0	9	9	8
Wed Apr 19 06:27:49 2017	1492576069	1	9	9	8
Wed Apr 19 06:27:49 2017	1492576069	0	9	9	8
Wed Apr 19 06:27:39 2017	1492576059	0	9	9	8
Wed Apr 19 06:27:40 2017	1492576060	0	9	9	9
Wed Apr 19 06:27:42 2017	1492576062	0	9	9	8
Wed Apr 19 06:27:50 2017	1492576070	1	9	9	8
Wed Apr 19 06:27:38 2017	1492576058	1	8	9	8
Wed Apr 19 06:27:47 2017	1492576067	1	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:50 2017	1492576070	1	9	9	8
Wed Apr 19 06:27:40 2017	1492576060	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	9	9	7
Wed Apr 19 06:27:50 2017	1492576070	0	9	9	8
Wed Apr 19 06:27:49 2017	1492576069	1	9	9	8
Wed Apr 19 06:27:41 2017	1492576061	0	9	9	8
Wed Apr 19 06:27:45 2017	1492576065	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	9	9	8
Wed Apr 19 06:27:38 2017	1492576058	1	9	9	8
Wed Apr 19 06:27:40 2017	1492576060	1	9	9	8
Wed Apr 19 06:27:39 2017	1492576059	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	9	9	8
Wed Apr 19 06:27:46 2017	1492576066	0	9	9	8
Wed Apr 19 06:27:40 2017	1492576060	0	9	9	8
Wed Apr 19 06:27:43 2017	1492576063	0	9	9	9
Wed Apr 19 06:27:48 2017	1492576068	1	9	9	8
Wed Apr 19 06:27:40 2017	1492576060	1	9	9	8
Wed Apr 19 06:27:49 2017	1492576069	0	9	9	8
Wed Apr 19 06:27:38 2017	1492576058	1	9	9	7
Wed Apr 19 06:27:47 2017	1492576067	1	9	9	8
Wed Apr 19 06:27:50 2017	1492576070	0	9	9	9
Wed Apr 19 06:27:45 2017	1492576065	0	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	1	9	9	8
Wed Apr 19 06:27:47 2017	1492576067	0	9	9	8
Wed Apr 19 06:27:42 2017	1492576062	1	9	9	8
Wed Apr 19 06:27:40 2017	1492576060	0	9	9	8
Wed Apr 19 06:27:42 2017	1492576062	0	9	9	8
Wed Apr 19 06:27:44 2017	1492576064	1	9	9	9
Wed Apr 19 06:27:48 2017	1492576068	1	9	9	8
Wed Apr 19 06:27:48 2017	1492576068	0	9	9	8
Wed Apr 19 06:27:39 2017	1492576059	0	9	9	8
Wed Apr 19 06:27:46 2017	1492576066	1	9	9	8
Wed Apr 19 06:27:42 2017	1492576062	1	9	9	8
