starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 19 06:16:02 2017	1492575362	2	3	5	3
Wed Apr 19 06:16:01 2017	1492575361	2	4	5	3
Wed Apr 19 06:16:01 2017	1492575361	2	4	5	4
Wed Apr 19 06:16:02 2017	1492575362	3	3	5	3
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	3
Wed Apr 19 06:16:01 2017	1492575361	3	3	6	3
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	4
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	3
Wed Apr 19 06:16:01 2017	1492575361	2	4	6	4
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	4
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	3
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	3
Wed Apr 19 06:16:02 2017	1492575362	3	3	6	3
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	4
Wed Apr 19 06:16:01 2017	1492575361	2	4	6	4
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	3
Wed Apr 19 06:16:02 2017	1492575362	3	3	6	3
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	3
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	3
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	4
Wed Apr 19 06:16:01 2017	1492575361	2	4	6	4
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	4
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	4
Wed Apr 19 06:16:02 2017	1492575362	3	3	6	3
Wed Apr 19 06:16:02 2017	1492575362	4	3	6	3
Wed Apr 19 06:16:01 2017	1492575361	3	4	6	3
Wed Apr 19 06:16:01 2017	1492575361	3	4	6	3
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	4
Wed Apr 19 06:16:02 2017	1492575362	3	3	6	3
Wed Apr 19 06:16:01 2017	1492575361	3	4	6	3
Wed Apr 19 06:16:02 2017	1492575362	2	5	6	4
Wed Apr 19 06:16:02 2017	1492575362	3	3	6	3
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	4
Wed Apr 19 06:16:01 2017	1492575361	2	5	6	5
Wed Apr 19 06:16:02 2017	1492575362	3	3	6	3
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	4
Wed Apr 19 06:16:02 2017	1492575362	4	2	6	2
Wed Apr 19 06:16:02 2017	1492575362	2	5	6	4
Wed Apr 19 06:16:01 2017	1492575361	2	4	6	4
Wed Apr 19 06:16:01 2017	1492575361	2	5	6	5
Wed Apr 19 06:16:01 2017	1492575361	2	4	6	4
Wed Apr 19 06:16:02 2017	1492575362	3	3	6	3
Wed Apr 19 06:16:01 2017	1492575361	2	4	6	4
Wed Apr 19 06:16:02 2017	1492575362	2	4	6	4
Wed Apr 19 06:16:01 2017	1492575361	2	4	6	4
Wed Apr 19 06:16:01 2017	1492575361	2	5	6	4
Wed Apr 19 06:16:02 2017	1492575362	2	5	6	5
Wed Apr 19 06:16:02 2017	1492575362	3	3	6	3
Wed Apr 19 06:16:02 2017	1492575362	2	5	6	5
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	4	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	4	3	7	2
Wed Apr 19 06:16:02 2017	1492575362	2	5	7	5
Wed Apr 19 06:16:01 2017	1492575361	3	3	7	3
Wed Apr 19 06:16:01 2017	1492575361	2	5	7	5
Wed Apr 19 06:16:01 2017	1492575361	2	5	7	5
Wed Apr 19 06:16:01 2017	1492575361	3	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	2	5	7	5
Wed Apr 19 06:16:01 2017	1492575361	2	5	7	5
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:01 2017	1492575361	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	4	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	2	5	7	5
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	2	5	7	5
Wed Apr 19 06:16:01 2017	1492575361	2	5	7	5
Wed Apr 19 06:16:02 2017	1492575362	4	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	2	5	7	5
Wed Apr 19 06:16:01 2017	1492575361	4	3	7	3
Wed Apr 19 06:16:01 2017	1492575361	2	5	7	5
Wed Apr 19 06:16:02 2017	1492575362	2	5	7	5
Wed Apr 19 06:16:02 2017	1492575362	4	3	7	2
Wed Apr 19 06:16:01 2017	1492575361	4	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	2	5	7	5
Wed Apr 19 06:16:02 2017	1492575362	2	5	7	5
Wed Apr 19 06:16:01 2017	1492575361	3	4	7	4
Wed Apr 19 06:16:01 2017	1492575361	4	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	4	3	7	3
Wed Apr 19 06:16:01 2017	1492575361	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	4	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	5	2	7	2
Wed Apr 19 06:16:02 2017	1492575362	4	3	7	2
Wed Apr 19 06:16:02 2017	1492575362	2	5	7	5
Wed Apr 19 06:16:01 2017	1492575361	4	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	3	5	7	4
Wed Apr 19 06:16:01 2017	1492575361	4	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	2	5	7	5
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	4	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	2	5	7	5
Wed Apr 19 06:16:01 2017	1492575361	3	5	7	5
Wed Apr 19 06:16:01 2017	1492575361	5	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	3	4	7	4
Wed Apr 19 06:16:02 2017	1492575362	5	2	7	2
Wed Apr 19 06:16:02 2017	1492575362	5	3	7	2
Wed Apr 19 06:16:02 2017	1492575362	5	3	7	2
Wed Apr 19 06:16:02 2017	1492575362	5	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	5	3	7	2
Wed Apr 19 06:16:01 2017	1492575361	3	5	7	4
Wed Apr 19 06:16:02 2017	1492575362	5	3	7	3
Wed Apr 19 06:16:02 2017	1492575362	5	3	7	2
