starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 19 06:07:10 2017	1492574830	3	8	11	6
Wed Apr 19 06:07:10 2017	1492574830	3	8	11	6
Wed Apr 19 06:07:10 2017	1492574830	3	8	11	6
Wed Apr 19 06:07:10 2017	1492574830	3	8	11	6
Wed Apr 19 06:07:12 2017	1492574832	8	3	11	2
Wed Apr 19 06:07:10 2017	1492574830	3	8	11	6
Wed Apr 19 06:07:12 2017	1492574832	8	3	11	3
Wed Apr 19 06:07:12 2017	1492574832	8	3	11	3
Wed Apr 19 06:07:10 2017	1492574830	3	9	11	6
Wed Apr 19 06:07:11 2017	1492574831	4	8	11	6
Wed Apr 19 06:07:10 2017	1492574830	3	9	11	6
Wed Apr 19 06:07:11 2017	1492574831	4	8	11	6
Wed Apr 19 06:07:10 2017	1492574830	3	9	12	6
Wed Apr 19 06:07:10 2017	1492574830	5	7	12	7
Wed Apr 19 06:07:10 2017	1492574830	3	9	12	6
Wed Apr 19 06:07:10 2017	1492574830	3	9	12	6
Wed Apr 19 06:07:12 2017	1492574832	4	8	12	7
Wed Apr 19 06:07:10 2017	1492574830	6	5	12	5
Wed Apr 19 06:07:11 2017	1492574831	8	3	12	3
Wed Apr 19 06:07:12 2017	1492574832	8	4	12	4
Wed Apr 19 06:07:11 2017	1492574831	4	8	12	6
Wed Apr 19 06:07:12 2017	1492574832	4	8	12	7
Wed Apr 19 06:07:11 2017	1492574831	4	8	12	7
Wed Apr 19 06:07:10 2017	1492574830	3	9	12	6
Wed Apr 19 06:07:11 2017	1492574831	4	8	12	7
Wed Apr 19 06:07:11 2017	1492574831	4	8	12	7
Wed Apr 19 06:07:10 2017	1492574830	3	9	12	6
Wed Apr 19 06:07:11 2017	1492574831	3	9	12	6
Wed Apr 19 06:07:11 2017	1492574831	3	9	12	6
Wed Apr 19 06:07:11 2017	1492574831	3	9	12	6
Wed Apr 19 06:07:10 2017	1492574830	9	3	12	3
Wed Apr 19 06:07:10 2017	1492574830	2	9	12	6
Wed Apr 19 06:07:12 2017	1492574832	8	4	12	4
Wed Apr 19 06:07:11 2017	1492574831	4	8	12	7
Wed Apr 19 06:07:11 2017	1492574831	4	8	12	7
Wed Apr 19 06:07:10 2017	1492574830	2	10	12	6
Wed Apr 19 06:07:11 2017	1492574831	4	8	12	7
Wed Apr 19 06:07:11 2017	1492574831	4	8	12	7
Wed Apr 19 06:07:11 2017	1492574831	3	9	12	7
Wed Apr 19 06:07:11 2017	1492574831	4	8	12	7
Wed Apr 19 06:07:11 2017	1492574831	4	8	12	7
Wed Apr 19 06:07:11 2017	1492574831	4	9	12	6
Wed Apr 19 06:07:11 2017	1492574831	3	9	12	6
Wed Apr 19 06:07:11 2017	1492574831	3	9	12	6
Wed Apr 19 06:07:11 2017	1492574831	7	5	12	5
Wed Apr 19 06:07:10 2017	1492574830	2	10	12	6
Wed Apr 19 06:07:10 2017	1492574830	2	10	12	8
Wed Apr 19 06:07:11 2017	1492574831	5	7	12	6
Wed Apr 19 06:07:10 2017	1492574830	4	8	12	7
Wed Apr 19 06:07:10 2017	1492574830	4	9	12	6
Wed Apr 19 06:07:11 2017	1492574831	3	9	12	6
Wed Apr 19 06:07:10 2017	1492574830	4	8	12	6
Wed Apr 19 06:07:11 2017	1492574831	3	9	12	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	12	6
Wed Apr 19 06:07:10 2017	1492574830	8	4	12	4
Wed Apr 19 06:07:10 2017	1492574830	4	8	12	6
Wed Apr 19 06:07:10 2017	1492574830	4	8	12	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	12	6
Wed Apr 19 06:07:10 2017	1492574830	2	10	12	8
Wed Apr 19 06:07:10 2017	1492574830	5	7	12	6
Wed Apr 19 06:07:12 2017	1492574832	5	8	12	6
Wed Apr 19 06:07:12 2017	1492574832	3	10	12	6
Wed Apr 19 06:07:11 2017	1492574831	4	8	12	6
Wed Apr 19 06:07:11 2017	1492574831	7	5	12	5
Wed Apr 19 06:07:10 2017	1492574830	3	9	12	7
Wed Apr 19 06:07:10 2017	1492574830	3	9	12	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	12	6
Wed Apr 19 06:07:10 2017	1492574830	2	10	12	6
Wed Apr 19 06:07:10 2017	1492574830	5	7	12	6
Wed Apr 19 06:07:11 2017	1492574831	7	5	12	5
Wed Apr 19 06:07:11 2017	1492574831	4	9	12	5
Wed Apr 19 06:07:12 2017	1492574832	3	10	12	6
Wed Apr 19 06:07:10 2017	1492574830	9	4	12	4
Wed Apr 19 06:07:10 2017	1492574830	4	9	12	6
Wed Apr 19 06:07:10 2017	1492574830	4	8	12	6
Wed Apr 19 06:07:10 2017	1492574830	4	8	12	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	12	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	12	6
Wed Apr 19 06:07:10 2017	1492574830	2	10	12	6
Wed Apr 19 06:07:12 2017	1492574832	5	8	12	6
Wed Apr 19 06:07:10 2017	1492574830	2	10	12	6
Wed Apr 19 06:07:12 2017	1492574832	3	10	12	6
Wed Apr 19 06:07:10 2017	1492574830	5	7	12	6
Wed Apr 19 06:07:12 2017	1492574832	5	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	4	8	13	5
Wed Apr 19 06:07:11 2017	1492574831	4	9	13	5
Wed Apr 19 06:07:11 2017	1492574831	4	8	13	5
Wed Apr 19 06:07:11 2017	1492574831	4	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	3	9	13	7
Wed Apr 19 06:07:10 2017	1492574830	3	9	13	6
Wed Apr 19 06:07:11 2017	1492574831	4	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	3	9	13	6
Wed Apr 19 06:07:10 2017	1492574830	8	4	13	4
Wed Apr 19 06:07:10 2017	1492574830	3	9	13	5
Wed Apr 19 06:07:10 2017	1492574830	9	4	13	3
Wed Apr 19 06:07:12 2017	1492574832	4	8	13	6
Wed Apr 19 06:07:12 2017	1492574832	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	8	4	13	4
Wed Apr 19 06:07:12 2017	1492574832	3	9	13	6
Wed Apr 19 06:07:10 2017	1492574830	3	9	13	6
Wed Apr 19 06:07:12 2017	1492574832	4	8	13	6
Wed Apr 19 06:07:12 2017	1492574832	4	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	4	8	13	5
Wed Apr 19 06:07:10 2017	1492574830	9	4	13	4
Wed Apr 19 06:07:12 2017	1492574832	8	4	13	4
Wed Apr 19 06:07:12 2017	1492574832	8	4	13	4
Wed Apr 19 06:07:12 2017	1492574832	3	9	13	6
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	8	4	13	3
Wed Apr 19 06:07:11 2017	1492574831	5	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	4	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	8	4	13	4
Wed Apr 19 06:07:10 2017	1492574830	3	10	13	4
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	7	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	7	13	6
Wed Apr 19 06:07:10 2017	1492574830	2	10	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	2	10	13	6
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	4	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:10 2017	1492574830	6	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:12 2017	1492574832	3	9	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	8	5	13	5
Wed Apr 19 06:07:10 2017	1492574830	8	5	13	5
Wed Apr 19 06:07:10 2017	1492574830	3	10	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	7	6	13	5
Wed Apr 19 06:07:11 2017	1492574831	7	6	13	5
Wed Apr 19 06:07:10 2017	1492574830	3	10	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:12 2017	1492574832	4	9	13	7
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:10 2017	1492574830	3	10	13	6
Wed Apr 19 06:07:12 2017	1492574832	3	10	13	8
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:12 2017	1492574832	4	9	13	7
Wed Apr 19 06:07:10 2017	1492574830	2	11	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	7	6	13	5
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:10 2017	1492574830	8	5	13	5
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:12 2017	1492574832	4	9	13	7
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:11 2017	1492574831	7	6	13	5
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	7	6	13	5
Wed Apr 19 06:07:10 2017	1492574830	4	10	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	7	6	13	5
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:11 2017	1492574831	8	5	13	3
Wed Apr 19 06:07:12 2017	1492574832	3	10	13	6
Wed Apr 19 06:07:12 2017	1492574832	3	10	13	8
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	6	7	13	5
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	2	11	13	6
Wed Apr 19 06:07:12 2017	1492574832	3	10	13	6
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	5
Wed Apr 19 06:07:10 2017	1492574830	6	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	7	6	13	5
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:12 2017	1492574832	3	10	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	9	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:10 2017	1492574830	9	4	13	4
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	9	13	7
Wed Apr 19 06:07:10 2017	1492574830	6	8	13	5
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:12 2017	1492574832	3	10	13	6
Wed Apr 19 06:07:11 2017	1492574831	7	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	6	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	5
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:12 2017	1492574832	4	9	13	7
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	5
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:12 2017	1492574832	3	10	13	8
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	2	11	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	7	6	13	5
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	5
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	5
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:12 2017	1492574832	4	9	13	7
Wed Apr 19 06:07:10 2017	1492574830	6	7	13	5
Wed Apr 19 06:07:11 2017	1492574831	6	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	4	9	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:10 2017	1492574830	6	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	8	5	13	3
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	5
Wed Apr 19 06:07:10 2017	1492574830	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	9	5	13	4
Wed Apr 19 06:07:10 2017	1492574830	5	9	13	6
Wed Apr 19 06:07:12 2017	1492574832	4	10	13	8
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	5	9	13	6
Wed Apr 19 06:07:10 2017	1492574830	5	9	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	7
Wed Apr 19 06:07:11 2017	1492574831	5	8	13	6
Wed Apr 19 06:07:11 2017	1492574831	6	7	13	7
Wed Apr 19 06:07:12 2017	1492574832	6	8	13	5
